date,address,creator,initialBuy,marketCap,bondingCurveKey,vSolInBondingCurve,vTokensInBondingCurve,uri,signature
36:04.5,TTbbdHTM9gDvfNrDWSLpoBmdTnh93VB3ETfThsvpump,8fvtsuTKuzsAeNTkSELtP2vcKb1j6931qzd2iyDFBkix,66439628.46,31.77176344623955,GzcFB3Ssxurukv9zbRero7cwehoL4gXHYnUQKnno1c8a,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmNk1mzBEuqv85LB6dYdMbEQ7t8F55irg4pNGkkAxnZGy8,47ugXkod5Pc6k4q7Y8B1Qynetkn48n5u6hwHpjQdGGVKHqde2vkFTKTt5QUKAbBDqbo3r9nTWfpSLLfXANYxF7sZ
36:09.3,FGVB6o17CHukiKWazv7LnuJKBR1n8W8keW6BdFVEpump,FSE7DFMRwBs3KD2PFiAFxu9ghi2u5nxixQqYEijJCaW7,177033.4911,27.96822162806459,42kfm36G8N5Y4VDnibLhop1V8DVai7gGk6ybQHivh2jW,30.004950494999974,1072822966.508948,https://ipfs.io/ipfs/QmfDy5yJwD73npQHfaq2Dk23nyPxD1Vd5BRMCE7J3H3Wyi,2aDQ3z1qT6eiWFsDy14M9c7GH9gpc8gWNNrex5X2GDYgfwDLDUBxVLpC6fuciokjE9f5AjZSZB9fyDHodackNKQm
36:09.4,7QLxiAkddXMffdf6yB6HycshGD6eicS8LoYG5Y5Spump,6x13RjmWK7RYAmQbQTRxw1H3PpNT4FDkZy6nBxpLXk3j,96666666.65,33.76950873502591,7vhYAS5xvKjQJksfu5ZCeZCTn46DdbB5dhNuHmGcbzVb,32.970297028999966,976333333.4,https://ipfs.io/ipfs/QmUGtwU5XuDnHYRLmTqDeicoB17yt6qoFK4Crjh1YWrrT4,4oUijF6JagHigvC6eNmjegdrgwhybPecjBUDgGWCCJAUWL14M6iRsA7eCozekmoJ7Nv5xv8QW6d1vJiCN3GJh5yS
36:11.2,HiAekkK9FUcC3Qk2rmqD7HLAaJSA6pXHjE8e7npTpump,Gw14GFPi2bWV5784Vm5gHBpqgkdMz2zwm5U1LCWz9p6o,97545454.55,33.830382106244144,Mwzdp5RiEzuRxSkUEixBttSHcF1gWS4UE1qVhae1ULM,32.999999999999986,975454545.5,https://ipfs.io/ipfs/QmYd7qTZGrsdWo9rC8ghuvdyqJ7cKPmprvygAVoSa5Mqda,2M7A17GnW9SoyAkfjMJ4i1rGJd8555UUWYA5ixB9W8J7pMgKsQvosaZEWfaKZXkDBpR3by1Y45jkJp9zqrgiZQag
36:14.0,Dt8wFEjSyyPcjXRRyjp8FgdowNxJh6w4sJoZjsUWpump,G78vrkWtSegLoN3uZxLLoFVfTXbbjRvQ86ysTqRsuvuS,10000,27.95951462039765,JAmnyQKByGsnQ9fogxUUky9obLt4ceSXq2exAVqSC9Ez,30.000279592540473,1072990000,https://ipfs.io/ipfs/QmfB87NiZPyfaCr1ZHGUG1QLmFBcLtpfs9DZjZHpHZ5xEA,3oFjNsYJR7D86nT76YxMuZ9eCbytdNn49uqb3Lpj9Sp9dxQbd3ja6HjzpTXS3yJWPA73Bb7A5kbAPw3eQ57YnKhq
36:14.1,DHHkEPaStHE1vAaLCTotqEDTK7VaFrwB4X3yC4XBpump,55oKbLgkDJZUnVtDkeZbL1K2F6isXpXb53P3aruHehZe,66439628.46,31.77176344623955,5PxPJ8WvK2GykuudB21hWcoTXqPB59X9A2cdGgwH5b96,31.980198018999996,1006560372,https://ipfs.io/ipfs/Qmct9jFiMX2ZCyKX76dXMA9Ey4zvjS2UFReQx5QkBbHfpV,4byMUqQAhHmzxBJtS1p1PSEx21GUWvHdeinMxaad8fbWXQkm2xf3DwxJzyXDYNQ1uYBcf4aJ2xvyV2maRhohhUWq
36:14.4,9zai8KPV6bt2axMjmiLTn5DtAw4kW1YFe7i3JujZpump,4U6Y6GUQCHe6KYhn43NyhdC2YJvJWmT2GehwJP1w88ux,67062500,31.811121466293816,ErgnfGskraPZU2deV1KSPZPznWpTobWepHwWxXg2cGNQ,31.999999999999968,1005937500.000001,https://ipfs.io/ipfs/QmXxgEcJFAXqNdu57BvuCp23M7UPUXXL7vpX8ei46uQxAa,2acjy4WirLE4h9HxbihiuQaD1bKmXyzDwyX1LaiMkFvS2weWojZK1sq8ifYLUVfJi6Fdh4Hpfp2TWC3AtU7GbkN1
36:18.5,5yj2GjZkcPVvBVHdiRcLxMhE9BWsN66eVPCMjB5Fpump,Gt4gg9mTmn3gHxhLDrBNF3MMpFn73mU5BepvuzzXbh8e,34281150.13,29.834925026021196,HZrZgmxfyAmK9LkBehm4MT7D8QvBQfct1W6WWNTwzjGn,30.99009900899999,1038718849.870455,https://ipfs.io/ipfs/QmavBWerCn3VZm7YnpQWBni3sfHR69WXfg6N7FaashV7hu,58tLKzBvMoyhx522UMyn81jLoz3BMAmDvKJq9QgfKgCCYX1RE2pf5iFMGadydUszoqH4J4pLFmErCMbbMEKt6Px6
36:18.6,HED4yt9u3YEyZjSLgb1EMTTN2sYABpXs9yG9TPXnLXro,EBbQ8XAa5MztUx1zbKhaNKKwcvNGxovdF7rG6iHZ2aun,97545454.55,33.830382106244144,DLgx7yj2LDDQH2Hdh6AeEScjuQbYW3B6X2V7mb9jJpGJ,32.999999999999986,975454545.5,https://ipfs.io/ipfs/Qmdsy2iex36nekfNR15APKA7dDq3G7GKesjBtT68dShnVc,ViogUEutbf5zaJGLKmrztH87GQGgUPijBQzcipfGaKh78agQ87GzqoXrE8iuUXjHr4TfmBdKZnVUdefjeHpCSCQ
36:20.4,CrVRY6nnUrKW1814cHddynBkXiSFfcQ3ofSjjgtCpump,14LeeQeqrt5AA3nagsZeonM7Lntz8Lh3DdgZHpjamwo5,49434642.86,30.724853401179033,6Rji8KtGjxtuqDa32t7JJYx9aDaRoeomHu8RFe6unZvU,31.44889554473977,1023565357.142858,https://ipfs.io/ipfs/QmeZBQjoosWBxLXaMwGfsJEJh7kfoAxGfULKBmb2PEQxng,mBP1nGuxBeRejMSamwAtFasVspd8yZziWtFScBEewATGYSLAVEzqqXayipWtE4SCP8KKycRcz7ZUhXuPRSTyM1x
36:21.3,CfSyRdFaaeUdkxP1CY18rKgXKkmKLp4cdqH9HDKdpump,DFtihuTNBeEmXb42whFxhRBoywP1BZw25QoWtijjs7BA,17418831.14,28.889345891625005,43MQfCMDZW6nrBDsrZ1ggZaJEHfy7sppiVXDfdSDLbxp,30.495049503999972,1055581168.864071,https://ipfs.io/ipfs/QmdhEXA5Au1XqZqbZLXDusfu2kyNHYSGYNQELHPWQiwTXm,3o3MPGa7QEBaMXj1UqPMy4fsRv4sLGzMAdF2ys6GyxSbqLGvJcpiNiHes6nXgLQRfx7mvgGowUHV9MQaW7juvTCL
36:21.7,FVoSYuE8Cg9LHqBtn1BFNjvHrX2EH6m8d4KXM2Qtpump,AudFZKbFzf8wzo4qi6Un3o1SRGYbJ3m7rR1fkTcRFaeU,66439628.46,31.77176344623955,2EuRgYjiMdNXAwQQYtJwoUym4vEUX4NoFikK33vH2Rmf,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmeyKSgxL71wXicdyApjDo4p7gCHEJokpNjJWuJDBoJ1Y4,f77S2SamR88mCGU9XFD6KZyVPuEKvNyXwaZSdEJs8S18JHzam93Uijpkb1kF5a6Za6fSeuMXgBYp5WMXR1e5vCZ
36:24.2,4B7yuXoDXE3fTWF88sM1qk1JkmiLDTeGViJUdCe2pump,9DaC4xVNEN9Yp5xcmdJ1EzpwMbrJbPb2zw1byvKzV5UM,51095238.1,30.82479030754892,2teVLmNvBUaHtyFHh9DScu8vdjws9KoQfL19og7bC91J,31.499999999999996,1021904761.904762,https://ipfs.io/ipfs/QmUmvy3AxhUft9owBQbXwFwuZr36ctSdimBYGcWXNWFK1R,2zxT9f3Pgw5TjfWCvs5xdtLCWhY3xsaJSPSWRfiLEgg6Pt3UpTABnyehaxMBxHz7TUNdHddBRQcHYKJjuqbUx8iz
36:24.4,G2v2ZJaHRmBFTW1D8Q1KqMyozc3FAXbaZEKtMg26pump,8yk8nSWFY2jp7V4oBw8NgsnjXiNDqV7LB8YfH8S27vzJ,97545454.55,33.830382106244144,8dseM2bgX4CrXhAzjL8FiecnwiqpY9t3GV3U4woiU6E3,32.999999999999986,975454545.5,https://ipfs.io/ipfs/QmXR8T9rT8WDYbCdc5wPZcYh18q7nBtBCfqqSWq8qe3QnF,5zXfXEuDuf9RQdeUKsmkyP5NErCt7LqwmFzUxTGvMTaNusF8uoH6Ted67tGABNzWN9KxsjyMjUUHTiDwgPz8Ap9b
36:26.7,q92tjv7u292ETAPNZxLGpxv2hPngS8b84QH8vvFpDEx,WFnHKMVDYZEUUoqJJvtWXduFQgJisqvz7AzLwAKLofb,66928387,31.802640955518207,FeJMfQ8eEPWaCbzptqVjTfuxNVMQ17YZxA7FZVGsXg9T,31.995734283778066,1006071613,https://ipfs.io/ipfs/QmUGtwU5XuDnHYRLmTqDeicoB17yt6qoFK4Crjh1YWrrT4,3barTAyACuG1rWaiaAQ9oow1wjVophrUZHKDdARAbVw6Ze22B8jXRzqruE8PaNzGpZJeRRdGDLurSMeySXpdW8J3
36:26.9,DVLJTQjKgB8ZH3wvZuRWxGQaLEMMU3kEzY3hTvsFpump,CrNPVKg8ASoSxmPiYF7sNG7zaR2Yyx7hbWHgtzHwUhGb,66439628.46,31.77176344623955,B4cveiMw1L3jUPzJJDtSjd7xQZV9kNNMXtbEe8sVJuT6,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmT2Hvze4AUa2AAiv72TLvQg84PTxiddK984jX8JxkxS4c,3N6VETaXwS2zhKLrZB7cmrnTJSD6UNCcXWrgvXB44bb1iwnFaH1qeZbW63ovgQ1Lf3r9rLH533zrs8pKUEwqzuKy
36:27.2,F61x9ywrkWLFBXTHyg3kRWVMKnx7q2mjy5EmBYa9pump,ADC1QV9raLnGGDbnWdnsxazeZ4Tsiho4vrWadYswA2ph,81783536.56,32.763022732061714,2bARsQT5Uw7cCfF7r2GnZwKQ5yjTWcy3w5P7UaPyrTbk,32.475247523999975,991216463.4,https://ipfs.io/ipfs/QmNh3DS8ejSpyyoTBiYUtKRWq6mvD13WzWoGMrt7GtGB7P,kAigxQTZznu8NCL6jAKqteJVjWSTvKLeqLK9nUTUmowyRMjaHMzMJ6rxqop5TuzRv8UMnErhR35n45hpT7AdeJ3
